prompt_setting,accuracy,bootstrap_mean,bootstrap_std,bootstrap_ci_low,bootstrap_ci_high
simple,0.3946296296296296,0.39438222222222225,0.006590005395038364,0.3811111111111111,0.40703703703703703
ensemble,0.4905555555555556,0.49048240740740745,0.006876212268046816,0.47759259259259257,0.505
