schedule,training_T,alpha_bar_T,terminal_mean,terminal_std,terminal_min,terminal_max
scaled_linear,200,3.0318391509354115e-05,-0.00838657096028328,0.998405933380127,-4.395514488220215,4.135517120361328
scaled_linear,1000,4.035829260828905e-05,-0.0030433691572397947,0.9988415837287903,-4.49519681930542,4.390604496002197
cosine,200,6.071638125604295e-08,0.005283764563500881,0.9990699291229248,-4.42775821685791,4.203124523162842
cosine,1000,2.428147682920212e-09,0.002294889884069562,0.9999483227729797,-4.130124568939209,4.532402515411377
