global_step,loss,loss_ema
1,1.180289387702942,1.180289387702942
100,0.07474063336849213,0.26935279126326894
200,0.05888080596923828,0.0920868891800068
300,0.04976826161146164,0.05927670060864995
400,0.050698861479759216,0.05009632519063174
500,0.038230348378419876,0.0469263279612597
600,0.04202191159129143,0.04332100601831951
700,0.03851832449436188,0.041161914965474805
800,0.03715568780899048,0.04050271257933285
900,0.03962989151477814,0.03944646236999184
1000,0.036134734749794006,0.03905882243927598
1100,0.03714073821902275,0.03756104614104302
1200,0.03424811735749245,0.037021635718248555
1300,0.03292161226272583,0.036358570547011776
1400,0.036257967352867126,0.03600759217302412
1500,0.03023538365960121,0.03553528570795189
1600,0.0368647426366806,0.03495772059789623
1700,0.03653956204652786,0.0347447737267848
1800,0.030898047611117363,0.034589899349819715
1900,0.03325418010354042,0.034987941923453586
2000,0.033015914261341095,0.0344657783728908
2100,0.03230838477611542,0.03438290615529098
2200,0.03656434640288353,0.03400605366490295
2300,0.03790795058012009,0.03322861729447252
2400,0.03392897918820381,0.03346584473471904
2500,0.035355426371097565,0.0329301310712695
2600,0.0333266519010067,0.03274163695398372
2700,0.030394895002245903,0.0333519522065088
2800,0.030885741114616394,0.03263730982551473
2900,0.02895740605890751,0.032417864279270306
3000,0.030136391520500183,0.031932093910575186
3100,0.031485650688409805,0.03190282667607396
3200,0.034106288105249405,0.032184206767475035
3300,0.029813198372721672,0.031846875686088925
3400,0.03224094212055206,0.03256939364370126
3500,0.029109232127666473,0.03197337391811403
3600,0.027886908501386642,0.0314860261905973
3700,0.028119932860136032,0.03158024525991875
3800,0.03437089920043945,0.03145312270996926
3900,0.031354717910289764,0.03093053033801341
4000,0.030486196279525757,0.03128908463156562
4100,0.03859563544392586,0.03142901525257013
4200,0.03086930885910988,0.031077062533317674
4300,0.03283265233039856,0.03130839408067325
4400,0.029484061524271965,0.031040196187013477
4500,0.03478698804974556,0.030481054439403292
4600,0.032424211502075195,0.030767603301711247
4700,0.029911305755376816,0.030862626797446918
4800,0.03289142623543739,0.03104639105513088
4900,0.034771405160427094,0.03094286320851258
5000,0.0287111084908247,0.030540005021401754
5100,0.03300527483224869,0.030645020609795043
5200,0.03483147919178009,0.03107837515024762
5300,0.03424905240535736,0.03128096380454998
5400,0.027885470539331436,0.030585333552541706
5500,0.029552480205893517,0.02995783820391999
5600,0.026730084791779518,0.03037022250842713
5700,0.03651931881904602,0.030824570855124515
5800,0.033474843949079514,0.03047204853937689
5900,0.033919621258974075,0.03041057371450603
6000,0.032995641231536865,0.030115145998640347
6100,0.032421790063381195,0.029783877433758238
6200,0.028464388102293015,0.030195059079317396
6300,0.03151536360383034,0.030596484078640906
6400,0.027062900364398956,0.030228661715827474
6500,0.029131943359971046,0.03012225189958859
6600,0.03139268234372139,0.03060097187901548
6700,0.033259499818086624,0.030298296931704487
6800,0.029667649418115616,0.02982354128196303
6900,0.030974671244621277,0.030128829635182493
7000,0.026370804756879807,0.02995520596321669
7100,0.030950339511036873,0.030062779004786808
7200,0.029007986187934875,0.02978107803027631
7300,0.0274939127266407,0.029638870397480692
7400,0.027528926730155945,0.029780398072933444
7500,0.03116389736533165,0.030446130939684686
7600,0.0325273796916008,0.029715733071303155
7700,0.02679404802620411,0.02983496249853151
7800,0.02791956067085266,0.029957824663275064
7900,0.03146165609359741,0.03016116303102986
8000,0.027440005913376808,0.029789935065787653
8100,0.02610301598906517,0.029799959956574924
8200,0.030808765441179276,0.02945196620646705
8300,0.025570843368768692,0.029591247207794654
8400,0.029022928327322006,0.02928107584258647
8500,0.02905939891934395,0.029907082842681926
8600,0.028564000502228737,0.02962060230891357
8700,0.02925116755068302,0.030215581531458216
8800,0.027666395530104637,0.029740599576677552
8900,0.034585997462272644,0.02960589864563737
9000,0.03160616382956505,0.029662287149789617
9100,0.030400963500142097,0.02943488364350832
9200,0.03164547681808472,0.030343973814566647
9300,0.025008052587509155,0.029361407735272637
9400,0.03179430216550827,0.02992956395798893
9500,0.028195103630423546,0.02968236206729377
9600,0.02723069116473198,0.02949775207749557
9700,0.030426310375332832,0.029118260417533466
9800,0.029558565467596054,0.029656720714173915
9900,0.03115876019001007,0.029594244028616816
10000,0.03346468508243561,0.029664563016970787
