global_step,loss,loss_ema
1,1.1995398998260498,1.1995398998260498
100,0.05111759155988693,0.23899958647988964
200,0.02913721650838852,0.06787983525201775
300,0.028682805597782135,0.0391568560152466
400,0.027001462876796722,0.03168340847598489
500,0.025027666240930557,0.029096157287073147
600,0.02705465629696846,0.02618325975890342
700,0.02715049311518669,0.025063238133728807
800,0.024031445384025574,0.0245978532567722
900,0.019993169233202934,0.023778819261036668
1000,0.01822969689965248,0.0239594411203284
1100,0.024308420717716217,0.022809780631732144
1200,0.0183488130569458,0.0223022500149942
1300,0.02290370687842369,0.021853994373153954
1400,0.025168191641569138,0.021501447778710134
1500,0.015486836433410645,0.020625234647739084
1600,0.022195177152752876,0.02040111595744504
1700,0.017907384783029556,0.02030391828600073
1800,0.019632671028375626,0.020625367011580114
1900,0.02151411585509777,0.020715014930273362
2000,0.017735041677951813,0.020102003421740774
2100,0.019174914807081223,0.020279293441913284
2200,0.022439414635300636,0.020419151993136153
2300,0.02212919294834137,0.019545876423466686
2400,0.01954324170947075,0.019189904507154097
2500,0.019927937537431717,0.019736332358006897
2600,0.018673459067940712,0.019540259490856395
2700,0.020750217139720917,0.01875237013745958
2800,0.013680234551429749,0.018620991604387432
2900,0.01694122701883316,0.019018756978111673
3000,0.022627197206020355,0.018666010318001986
3100,0.01838277280330658,0.01858371287641786
3200,0.016281314194202423,0.018978609562240033
3300,0.016696618869900703,0.018820082046371235
3400,0.018588896840810776,0.018485341568597113
3500,0.018367744982242584,0.018694830525098963
3600,0.02145245298743248,0.01872714512506739
3700,0.019597714766860008,0.01831116328101441
3800,0.017011061310768127,0.018358986413438146
3900,0.017610475420951843,0.018439723141823326
4000,0.02278783544898033,0.01858506273293331
4100,0.01857178658246994,0.018668868126747416
4200,0.02271372266113758,0.018273787316384377
4300,0.017145954072475433,0.018374273620267507
4400,0.018624942749738693,0.017916702048105342
4500,0.023849252611398697,0.01831028844211174
4600,0.02103952318429947,0.01768147170996644
4700,0.019098322838544846,0.018057557581932972
4800,0.019655607640743256,0.017958025604261033
4900,0.019003015011548996,0.018161561878182964
5000,0.017310813069343567,0.017520590860060803
5100,0.01637432724237442,0.017818212397764675
5200,0.019216781482100487,0.017838227938960397
5300,0.014932867139577866,0.01769049776567497
5400,0.014285177923738956,0.01758609368684119
5500,0.019023995846509933,0.017456298352038154
5600,0.018389374017715454,0.017264224015735123
5700,0.020277369767427444,0.017700728355267027
5800,0.013866608962416649,0.01744789283278453
5900,0.014906097203493118,0.017437491913452622
6000,0.018133101984858513,0.017446572900601164
6100,0.02048558183014393,0.017796270442913337
6200,0.019388291984796524,0.01765753909117233
6300,0.01957128196954727,0.01781981051405389
6400,0.014847240410745144,0.01751840502443039
6500,0.017132356762886047,0.017256330993737853
6600,0.017163006588816643,0.01787023619631919
6700,0.018639978021383286,0.017526272253633755
6800,0.016802938655018806,0.01740821893305056
6900,0.015397829934954643,0.01751060042258178
7000,0.01687420904636383,0.017159253319635685
7100,0.018805786967277527,0.01741065206707762
7200,0.015487892553210258,0.017273858039054703
7300,0.018011854961514473,0.01723114079278376
7400,0.015923533588647842,0.01714729168967768
7500,0.016053402796387672,0.017542317932482746
7600,0.02067171037197113,0.01689771328971917
7700,0.01819515973329544,0.017068284936743103
7800,0.014813631772994995,0.017148323747269097
7900,0.017772726714611053,0.01730200410432358
8000,0.013444587588310242,0.016965059071683452
8100,0.013099942356348038,0.017065498314708955
8200,0.017305761575698853,0.017067746287455696
8300,0.016991136595606804,0.017028683445867273
8400,0.015911972150206566,0.017086506020500217
8500,0.014839057810604572,0.017135737093420297
8600,0.018135052174329758,0.017043991218889182
8700,0.01360319647938013,0.017829240159951788
8800,0.014346815645694733,0.01700714449871277
8900,0.016027193516492844,0.016899022929847136
9000,0.01772727444767952,0.01697365580808935
9100,0.016802337020635605,0.017137690097133663
9200,0.01656634546816349,0.01739290031665957
9300,0.015273548662662506,0.017041785229032498
9400,0.01694943755865097,0.017240968294369
9500,0.01606326550245285,0.017099299688618695
9600,0.018558179959654808,0.01691948127994306
9700,0.02370656654238701,0.017094375763475424
9800,0.017450690269470215,0.017127407731493124
9900,0.019529111683368683,0.017298572313556682
10000,0.014068875461816788,0.0167412302579757
