prompt_setting,accuracy,bootstrap_mean,bootstrap_std,bootstrap_ci_low,bootstrap_ci_high
simple,0.3946296296296296,0.39438222222222225,0.006590005395038364,0.3811111111111111,0.40703703703703703
ensemble,0.505,0.5049992592592593,0.006936660039693352,0.49166666666666664,0.5188888888888888
